route_id,service_id,trip_id,shape_id,trip_headsign,trip_short_name,direction_id,block_id
"1-S3-W-j24-1","TA+fno00","52.TA.1-S3-W-j24-1.11.R","1-S3-W-j24-1.11.R","Wien Praterstern","S 19422","1",""
"1-S3-W-j24-1","TA+fno00","53.TA.1-S3-W-j24-1.11.R","1-S3-W-j24-1.11.R","Wien Praterstern","S 19402","1",""
"1-S3-W-j24-1","TA+fno00","54.TA.1-S3-W-j24-1.11.R","1-S3-W-j24-1.11.R","Wien Praterstern","S 19470","1",""
"1-S3-W-j24-1","TA+fno00","55.TA.1-S3-W-j24-1.11.R","1-S3-W-j24-1.11.R","Wien Praterstern","S 19464","1",""
"1-S3-W-j24-1","TA+fno00","56.TA.1-S3-W-j24-1.11.R","1-S3-W-j24-1.11.R","Wien Praterstern","S 19424","1",""
"1-S3-W-j24-1","TA+fno00","57.TA.1-S3-W-j24-1.11.R","1-S3-W-j24-1.11.R","Wien Praterstern","S 19410","1",""
"1-S3-W-j24-1","TA+fno00","58.TA.1-S3-W-j24-1.11.R","1-S3-W-j24-1.11.R","Wien Praterstern","S 19408","1",""
"1-S3-W-j24-1","TA+fno00","59.TA.1-S3-W-j24-1.11.R","1-S3-W-j24-1.11.R","Wien Praterstern","S 19418","1",""
"1-S3-W-j24-1","TA+u4420","6.TA.1-S3-W-j24-1.3.R","1-S3-W-j24-1.3.R","Wien Jedlersdorf","S 22132","1","549"
"1-S3-W-j24-1","TA+fno00","60.TA.1-S3-W-j24-1.11.R","1-S3-W-j24-1.11.R","Wien Praterstern","S 19400","1",""
"1-S3-W-j24-1","TA+fno00","61.TA.1-S3-W-j24-1.11.R","1-S3-W-j24-1.11.R","Wien Praterstern","S 19434","1",""
"1-S3-W-j24-1","TA+fno00","62.TA.1-S3-W-j24-1.11.R","1-S3-W-j24-1.11.R","Wien Praterstern","S 19420","1",""
"1-S3-W-j24-1","TA+fno00","63.TA.1-S3-W-j24-1.11.R","1-S3-W-j24-1.11.R","Wien Praterstern","S 19458","1",""
"1-S3-W-j24-1","TA+fno00","64.TA.1-S3-W-j24-1.11.R","1-S3-W-j24-1.11.R","Wien Praterstern","S 19466","1",""
"1-S3-W-j24-1","TA+fno00","65.TA.1-S3-W-j24-1.11.R","1-S3-W-j24-1.11.R","Wien Praterstern","S 19432","1",""
